slug,locale,silo,title,scenarios,variables,sources,publishers,faq,routes,depthScore,depthPercentile,peerHubs,lastReviewed
"en/money","en","money","Money","44","155","97","43","121","10","457","93","15","2026-08-31"
"en/money/crypto-profit-and-fees","en","money","What am I really making on crypto after fees?","5","20","6","4","12","12","64","87","62","2026-07-28"
"en/money/family-budget-and-big-expenses","en","money","How much can my family afford?","6","21","37","20","12","6","123","100","62","2026-08-16"
"en/money/get-out-of-debt","en","money","What is the fastest, cheapest way to clear my debt?","4","12","6","4","12","6","48","53","62","2026-07-28"
"en/money/grow-your-money","en","money","How much will this money be worth, and how should I split it?","4","20","6","5","12","22","72","94","62","2026-07-28"
"en/money/home-loan","en","money","Should I refinance, pay extra, or borrow against my home?","4","11","6","3","12","7","48","53","62","2026-07-28"
"en/money/paycheck-and-taxes","en","money","How much of my paycheck do I actually keep?","5","14","9","3","13","13","65","90","62","2026-07-28"
"en/money/renting-a-home","en","money","What will renting this place really cost me?","4","11","5","5","11","8","47","47","62","2026-07-28"
"en/money/retirement-income","en","money","Roth or traditional, and what will I actually live on?","5","15","8","3","13","11","62","81","62","2026-07-28"
"en/money/sales-and-property-tax","en","money","What tax will I pay on this purchase or on my property?","4","17","8","5","12","8","59","76","62","2026-07-28"
"en/money/self-employed-rates-and-taxes","en","money","What do I charge, and what do I actually keep?","3","14","6","3","12","3","45","29","62","2026-07-28"
"en/pets","en","pets","Pets","9","17","16","9","24","2","79","13","15","2026-08-31"
"en/pets/dog-lifestyle-and-costs","en","pets","Does this dog fit my life, and what will it cost?","4","9","8","4","12","5","48","53","62","2026-07-28"
"en/pets/pet-age-and-life-stage","en","pets","How old is my pet really, and what's due now?","5","8","8","6","12","5","49","56","62","2026-07-28"
"en/school","en","school","School & Learning","14","40","16","14","37","3","113","27","15","2026-08-31"
"en/school/gpa-and-grades","en","school","What’s my GPA and what do I need to keep the scholarship?","4","13","5","4","12","4","45","29","62","2026-07-28"
"en/school/learn-a-language","en","school","How long until I actually speak this language?","5","9","5","5","13","10","49","56","62","2026-07-28"
"en/school/study-time-and-focus","en","school","How do I plan my study time?","5","18","6","6","12","5","55","73","62","2026-07-28"
"en/science","en","science","Science","23","49","17","11","39","3","142","47","15","2026-08-31"
"en/science/chemistry-and-thermodynamics","en","science","How do I get this solution, gas or heat problem right?","6","17","5","4","12","6","55","73","62","2026-07-28"
"en/science/motion-and-forces","en","science","What’s the force, energy or motion here?","9","17","5","5","13","9","64","87","62","2026-07-28"
"en/science/waves-light-and-astronomy","en","science","How far, how fast, how much energy?","8","15","7","6","14","8","63","82","62","2026-07-28"
"en/tech","en","tech","Tech","34","89","40","32","76","6","253","87","15","2026-08-31"
"en/tech/batteries-and-electronics","en","tech","How long will it run, and what supply does it need?","8","27","7","7","14","8","75","95","62","2026-07-28"
"en/tech/cloud-and-ai-costs","en","tech","What will this cost me to run per month?","6","17","8","7","13","6","61","79","62","2026-07-28"
"en/tech/network-and-security","en","tech","Is my network — and my password — up to the job?","7","12","8","6","13","7","59","76","62","2026-07-28"
"en/tech/pc-build-and-power","en","tech","What PC do I need, and what power supply does it take?","5","10","6","5","12","5","47","47","62","2026-07-28"
"en/tech/screens-and-print-resolution","en","tech","What resolution do I actually need?","3","9","5","5","12","3","38","3","62","2026-07-28"
"en/tech/storage-and-file-size","en","tech","How much space is this, and how long will it take?","5","14","6","6","12","5","51","63","62","2026-07-28"
"es","es-ES","es","Tomá decisiones con todos los números delante.","82","184","104","39","236","29","595","100","9","2026-08-31"
"es/automotor","es-ES","automotor","Coche","8","23","9","4","22","2","69","44","9","2026-08-31"
"es/automotor/comprar-coche","es-ES","automotor","¿Qué coche me conviene y cómo lo pago?","4","12","4","4","11","6","44","86","21","2026-07-28"
"es/automotor/costes-del-coche","es-ES","automotor","¿Cuánto me cuesta tener el coche cada año?","4","11","5","3","11","5","44","86","21","2026-07-28"
"es/educacion","es-ES","educacion","Educación","6","17","8","4","21","2","57","11","9","2026-08-31"
"es/educacion/cuanto-cuesta-estudiar","es-ES","educacion","¿Máster oficialo título propio?Compará antes.","4","8","5","3","11","5","41","62","21","2026-07-28"
"es/educacion/nota-de-admision","es-ES","educacion","¿Con qué nota entro y qué nota tengo?","2","9","3","2","10","2","31","5","21","2026-07-28"
"es/familia","es-ES","familia","Familia","7","15","10","7","22","2","61","33","9","2026-08-31"
"es/familia/ayudas-por-renta","es-ES","familia","¿Mi renta me da derecho a alguna ayuda?","4","7","5","4","11","4","39","43","21","2026-07-28"
"es/familia/tener-un-hijo","es-ES","familia","Voy a tener un hijo: ¿cuánto cuesta y qué me devuelven?","3","8","5","5","11","6","40","57","21","2026-07-28"
"es/finanzas","es-ES","finanzas","Finanzas","7","16","9","5","22","2","60","22","9","2026-08-31"
"es/finanzas/deudas-y-prestamos","es-ES","finanzas","¿Cuánto me cuesta de verdad esta deuda?","3","8","4","2","11","3","35","14","21","2026-07-28"
"es/finanzas/donde-pongo-mis-ahorros","es-ES","finanzas","¿Dónde pongo mis ahorros?","4","8","5","5","11","7","43","71","21","2026-07-28"
"es/impuestos","es-ES","impuestos","Impuestos","11","19","17","6","36","3","88","56","9","2026-08-31"
"es/impuestos/ahorro-e-inversiones","es-ES","impuestos","Gané dinero con mis ahorros: ¿cuánto se lleva Hacienda?","4","7","5","3","12","4","39","43","21","2026-07-28"
"es/impuestos/autonomos","es-ES","impuestos","Como autónomo, ¿cuánto se lleva Hacienda de lo que facturas?","3","6","5","3","12","4","36","19","21","2026-07-28"
"es/impuestos/irpf-nomina","es-ES","impuestos","De tu sueldo bruto, ¿cuánto te retienen de IRPF y cuánto te queda?","4","6","7","5","12","9","47","95","21","2026-08-16"
"es/trabajo","es-ES","trabajo","Trabajo","18","29","20","8","46","4","119","89","9","2026-08-31"
"es/trabajo/jubilacion","es-ES","trabajo","¿Cuándo me puedo jubilar y cuánto voy a cobrar?","4","7","5","2","11","5","40","57","21","2026-07-28"
"es/trabajo/mi-nomina","es-ES","trabajo","Lo que cobras, ¿cuadra con tu convenio?","5","9","5","4","12","8","47","95","21","2026-08-16"
"es/trabajo/no-puedo-trabajar","es-ES","trabajo","No puedo trabajar: ¿qué cobro y quién me lo paga?","4","6","5","3","11","4","38","24","21","2026-07-28"
"es/trabajo/perder-el-trabajo","es-ES","trabajo","Me quedo sin trabajo: ¿cuánto me tienen que pagar y de qué vivo?","5","7","5","3","12","5","42","67","21","2026-07-28"
"es/vida","es-ES","vida","Vida","10","32","15","13","23","2","94","67","9","2026-08-31"
"es/vida/comida-cuentas-y-tiempo-con-amigos","es-ES","vida","¿Cuánto necesitamos para comer, pagar y organizar el plan?","6","23","10","10","12","6","71","100","21","2026-08-16"
"es/vida/gastos-de-la-casa","es-ES","vida","¿Cuánto me cuesta de verdad mantener la casa?","4","9","5","3","11","7","44","86","21","2026-07-28"
"es/vivienda","es-ES","vivienda","Vivienda","15","33","16","7","44","4","109","78","9","2026-08-31"
"es/vivienda/alquilar-piso","es-ES","vivienda","Alquilar un piso: ¿qué me cuesta entrar y qué renta ponerlo?","4","8","4","2","11","5","39","43","21","2026-07-28"
"es/vivienda/comprar-o-vender-piso","es-ES","vivienda","Comprar o vender un piso: ¿cuánto se llevan los impuestos?","3","10","5","4","11","4","40","57","21","2026-07-28"
"es/vivienda/hipoteca","es-ES","vivienda","¿Cuánto pago de hipoteca y me sale a cuenta amortizar?","4","7","3","2","11","3","34","10","21","2026-07-28"
"es/vivienda/reforma-y-eficiencia","es-ES","vivienda","¿Cuánto cuesta reformar, construir o cambiar la instalación?","4","8","4","3","11","5","39","43","21","2026-07-28"
"estudio","es","estudio","Tu carrera no es solo lo que falta. También es todo lo que hiciste.","52","117","53","44","108","9","346","87","30","2026-08-31"
"estudio/aprender-un-idioma","es","estudio","¿Cuánto tardo en aprender un idioma?","7","10","6","6","12","15","61","93","211","2026-07-27"
"estudio/contador-de-palabras","es","estudio","Contá palabras mientras escribís","1","5","4","3","10","9","34","6","211","2026-07-27"
"estudio/cuanto-cuesta-estudiar","es","estudio","¿Cuánto cuesta estudiar?","5","8","5","5","12","7","45","45","211","2026-07-27"
"estudio/cuanto-falta-para-recibirme","es","estudio","¿Cuánto te falta para recibirte?","5","16","6","6","12","6","54","81","211","2026-07-27"
"estudio/cuanto-tardo-en-leer","es","estudio","¿Cuánto tardo en leer esto?","7","13","6","6","12","7","56","85","211","2026-07-27"
"estudio/examenes-de-idioma","es","estudio","¿Qué puntaje necesito en TOEFL, IELTS o Cambridge?","7","24","9","8","12","9","75","100","211","2026-07-27"
"estudio/nota-necesaria-para-aprobar","es","estudio","¿Qué nota necesito para aprobar?","5","9","5","4","12","3","42","35","211","2026-07-27"
"estudio/plan-de-estudio","es","estudio","¿Cómo organizo el estudio para el examen?","8","23","7","7","14","9","72","99","211","2026-07-27"
"estudio/promedio","es","estudio","No es sólo cuánto te da. Es qué necesitás lograr.","7","9","5","5","12","12","55","84","211","2026-07-27"
"eventos","es","eventos","Que alcance para todos. Y no sobre una fiesta entera.","39","71","43","28","95","8","253","60","30","2026-08-31"
"eventos/asado","es","eventos","¿Cuánta carne compro para el asado?","4","6","4","4","10","7","39","25","211","2026-07-27"
"eventos/bebidas","es","eventos","Que alcance para brindar. No para llenar la despensa.","4","6","5","5","12","11","45","45","211","2026-07-27"
"eventos/casamiento","es","eventos","¿Cuánto cuesta casarse?","5","8","6","6","12","6","46","52","211","2026-07-27"
"eventos/comida","es","eventos","¿Cuánta comida necesitás para tu evento?","4","7","6","6","13","15","52","74","211","2026-07-27"
"eventos/empanadas-y-guarniciones","es","eventos","Que sobren algunas. No cinco docenas.","4","15","5","5","12","6","49","63","211","2026-07-27"
"eventos/logistica","es","eventos","¿Cuántas mesas, sillas, meseros y cosas necesito para la fiesta?","6","6","6","6","12","9","49","63","211","2026-07-27"
"eventos/presupuesto","es","eventos","¿Cuánto me va a salir la fiesta?","5","11","5","4","12","7","48","60","211","2026-07-27"
"eventos/tragos","es","eventos","¿Cuánto de cada cosa para N tragos?","7","12","6","5","12","7","55","84","211","2026-07-28"
"familia","es","familia","Organizar la familia también es cuidar.","18","25","20","12","48","4","115","37","30","2026-08-31"
"familia/asignaciones-anses","es","familia","Entendé qué te corresponde y qué te retienen.","5","6","7","4","13","7","47","56","211","2026-07-27"
"familia/costo-de-un-bebe","es","familia","¿Cuánto cuesta un bebé por mes?","4","8","3","3","11","6","38","19","211","2026-07-27"
"familia/cuota-alimentaria","es","familia","No hay un porcentaje único. Hay una cuenta que tiene que poder explicarse.","4","7","6","4","12","4","41","31","211","2026-07-27"
"familia/herencia","es","familia","Falleció un familiar: cuánto te toca y cuánto cuesta la sucesión.","5","4","4","4","12","5","37","15","211","2026-07-27"
"fechas","es","fechas","Días, meses y años. Sin perderse en el calendario.","11","19","23","13","52","5","102","27","30","2026-08-31"
"fechas/cuenta-regresiva","es","fechas","¿Cuánto falta para…?","4","4","4","3","11","10","40","27","211","2026-07-27"
"fechas/dias-entre-fechas","es","fechas","Calcular días entre dos fechas","1","5","5","2","10","6","33","5","211","2026-08-04"
"fechas/edad-exacta","es","fechas","Tu edad es másque los años quecumpliste.","1","2","5","5","9","6","29","2","211","2026-07-27"
"fechas/feriados","es","fechas","El próximo descanso, a la vista.","4","5","4","2","12","5","36","11","211","2026-07-27"
"fechas/generaciones","es","fechas","Tu año te ubicaen una generación.No te define.","1","3","5","5","10","17","42","35","211","2026-08-07"
"finanzas-personales","es","finanzas-personales","Que el mes no te pase por encima.","41","84","42","22","105","9","269","67","30","2026-08-31"
"finanzas-personales/becas-para-estudiar","es","finanzas-personales","¿Cuánto voy a cobrar de beca y qué me descuentan?","5","3","4","3","12","4","35","8","211","2026-07-27"
"finanzas-personales/dividir-gastos","es","finanzas-personales","¿Cómo dividimos los gastos?","3","10","3","3","12","7","39","25","211","2026-07-27"
"finanzas-personales/dolar","es","finanzas-personales","¿Qué hacés hoy con tus pesos?","5","7","5","4","12","10","47","56","211","2026-07-27"
"finanzas-personales/gastos-del-mes","es","finanzas-personales","Tu plata no desaparece. Se reparte.","4","16","5","3","11","17","61","93","211","2026-07-27"
"finanzas-personales/meta-de-ahorro","es","finanzas-personales","¿Cuánto tengo que ahorrar por mes?","6","9","4","3","12","14","53","77","211","2026-07-27"
"finanzas-personales/prestamo","es","finanzas-personales","La cuota entra. ¿Pero cuánto vas a pagar de verdad?","6","10","5","3","12","12","54","81","211","2026-07-27"
"finanzas-personales/salir-de-deudas","es","finanzas-personales","Tu deuda tieneuna salida.Armemos el plan.","4","7","6","2","10","6","43","38","211","2026-07-27"
"finanzas-personales/tarifa-freelance","es","finanzas-personales","¿Cuánto tengo que cobrar la hora para que me cierre?","3","11","4","4","12","4","39","25","211","2026-07-27"
"finanzas-personales/tarjeta-de-credito","es","finanzas-personales","Pago el mínimo de la tarjeta: ¿cuánto me cuesta?","5","11","6","4","12","8","51","70","211","2026-07-27"
"futbol","es","futbol","Menos intuición. Más lectura del partido.","14","51","23","17","47","4","139","40","30","2026-08-31"
"futbol/estadisticas","es","futbol","Medí tu nivel. Comparalo con los que juegan en serio.","1","18","5","5","11","19","59","91","211","2026-07-27"
"futbol/mundial-2026","es","futbol","48 selecciones. 104 partidos. Una campeona.","1","8","7","3","12","14","48","60","211","2026-07-27"
"futbol/premios","es","futbol","¿Cuánto se lleva de premio cada equipo?","6","12","6","5","12","8","54","81","211","2026-07-27"
"futbol/puntos-y-campeonato","es","futbol","¿Le alcanzan los puntos a tu equipo?","6","13","5","5","12","7","52","74","211","2026-07-27"
"hogar","es","hogar","Entendé qué consume tu hogar. Y dónde podés mejorar.","37","136","57","42","108","9","343","83","30","2026-08-31"
"hogar/amueblar","es","hogar","Antes de comprar el mueble: ¿entra?","5","7","5","5","12","16","53","77","211","2026-07-27"
"hogar/climatizacion","es","hogar","La temperatura justa. El equipo justo.","5","9","6","6","12","14","55","84","211","2026-07-27"
"hogar/factura-de-luz","es","hogar","Entendé por qué subió antes de empezar a apagar todo.","4","11","6","5","11","11","52","74","211","2026-07-27"
"hogar/gas-y-agua","es","hogar","Entendé qué consumís y qué te cobran.","4","13","8","7","12","9","56","85","211","2026-07-27"
"hogar/gastos-de-la-casa","es","hogar","¿Cuánto me cuesta la casa además del alquiler o la cuota?","5","24","9","6","13","6","68","98","211","2026-07-27"
"hogar/huella-de-carbono","es","hogar","¿Cuál es mi huella de carbono?","5","17","8","7","12","9","62","95","211","2026-07-27"
"hogar/humedad-en-casa","es","hogar","¿Tengo humedad en casa y dónde va a condensar?","1","5","5","5","12","4","31","4","211","2026-07-28"
"hogar/limpieza","es","hogar","Una casa limpia, con un plan que sí entra en tu semana.","7","29","4","4","12","7","68","98","211","2026-07-27"
"hogar/pileta","es","hogar","¿Cuánto sale mantener la pileta?","1","21","6","6","12","5","50","68","211","2026-07-27"
"impuestos","es","impuestos","Pagá lo que corresponde. Entendé cada peso.","41","49","46","15","94","8","241","57","30","2026-08-31"
"impuestos/bienes-personales","es","impuestos","¿Tu patrimonio supera el mínimo?","6","8","6","6","12","8","50","68","211","2026-08-04"
"impuestos/comprar-en-el-exterior","es","impuestos","Del precio del carrito al costo puesto en tu casa.","6","6","6","3","12","2","42","35","211","2026-07-28"
"impuestos/deducciones-ganancias","es","impuestos","¿Qué me puedo deducir de Ganancias y cuánto me baja?","6","6","5","2","12","3","41","31","211","2026-07-27"
"impuestos/ganancias-cuarta-categoria","es","impuestos","¿Cuánto te sacandel sueldo porGanancias?","4","6","5","3","11","9","43","38","211","2026-08-07"
"impuestos/ingresos-brutos","es","impuestos","Facturar no eslo mismo queganar.","3","7","6","6","12","2","37","15","211","2026-08-04"
"impuestos/iva","es","impuestos","El IVA no se resta. Se discrimina.","4","3","5","3","11","5","36","11","211","2026-07-27"
"impuestos/monotributo","es","impuestos","Tu categoría,tu cuota y cuántomargen te queda.","4","8","6","3","11","15","53","77","211","2026-08-04"
"impuestos/retenciones","es","impuestos","Te descontaron plata. Ahora veamos si es costo o pago a cuenta.","8","5","7","3","13","8","53","77","211","2026-08-07"
"inversiones","es","inversiones","Tu plata puede crecer. Primero hacé las cuentas.","32","77","34","21","84","7","226","53","30","2026-08-31"
"inversiones/cedears","es","inversiones","Antes de comprar el ticker, entendé qué estás pagando.","5","8","4","4","12","5","41","31","211","2026-07-27"
"inversiones/ganancia-con-cripto","es","inversiones","Comprás y vendés cripto: ¿cuánto ganaste después de las comisiones?","6","20","5","5","12","7","59","91","211","2026-07-27"
"inversiones/interes-compuesto","es","inversiones","Tu plata no crece en línea recta. Al principio casi no se nota.","4","6","6","5","12","13","49","63","211","2026-07-27"
"inversiones/liquidacion-apalancamiento","es","inversiones","Abrís una posición apalancada: ¿a qué precio te liquidan?","5","13","4","4","12","5","46","52","211","2026-07-27"
"inversiones/opciones-call-put","es","inversiones","Comprás una opción: ¿cuánto vale y desde qué precio ganás?","4","7","4","4","12","2","35","8","211","2026-07-27"
"inversiones/plazo-fijo","es","inversiones","Tu saldo sube.¿Tu plata tambiénvale más?","4","6","6","3","12","6","42","35","211","2026-07-27"
"inversiones/riesgo-de-mi-cartera","es","inversiones","¿El retorno compensa el riesgo que tomás?","4","17","5","5","12","5","50","68","211","2026-07-27"
"jardin","es","jardin","Un jardín sano no necesita agua de más. Necesita la cuenta correcta.","16","37","16","10","46","4","115","37","30","2026-08-31"
"jardin/cuantas-plantas","es","jardin","¿Cuántas plantas me entran acá?","5","13","5","3","12","5","48","60","211","2026-07-28"
"jardin/huerta","es","jardin","Qué sembrar, cuándo y cómo cuidarlo.","4","7","5","5","10","11","46","52","211","2026-07-27"
"jardin/riego","es","jardin","¿Cuánto tengo que regar?","4","10","3","3","12","5","39","25","211","2026-07-27"
"jardin/tierra-y-macetas","es","jardin","¿Qué maceta y cuánta tierra?","3","7","3","3","12","8","37","15","211","2026-07-27"
"jubilacion","es","jubilacion","No esperes al último año para hacer la cuenta.","14","19","21","6","43","4","103","30","30","2026-08-31"
"jubilacion/cuando-me-jubilo","es","jubilacion","¿Cuándo me puedo jubilar?","4","5","5","2","12","3","36","11","211","2026-07-27"
"jubilacion/cuanto-voy-a-cobrar","es","jubilacion","Estimá cuántovas a cobrar dejubilación","4","8","6","4","12","11","49","63","211","2026-07-27"
"jubilacion/pensiones","es","jubilacion","¿Me corresponde una pensión?","4","6","8","4","12","6","46","52","211","2026-07-27"
"jubilacion/prestamo-anses","es","jubilacion","¿Cuánto me presta ANSES y con qué cuota me queda el haber?","2","0","2","1","7","5","20","0","211","2026-08-31"
"mascotas","es","mascotas","Sus años cuentan distinto. Su cuidado también.","17","49","52","35","106","9","206","50","30","2026-08-31"
"mascotas/acuario","es","mascotas","Un acuario donde puedan vivir bien.","3","6","6","6","12","6","40","27","211","2026-07-27"
"mascotas/cuanta-comida","es","mascotas","¿Cuánta comida le doy a mi mascota?","5","6","6","6","12","10","48","60","211","2026-07-27"
"mascotas/cuanto-cuesta","es","mascotas","¿Cuánto sale por mes tener un perro o un gato?","2","6","5","5","12","5","35","8","211","2026-07-27"
"mascotas/cuanto-vive","es","mascotas","¿Cuántos años vive mi conejo, tortuga o reptil?","1","4","8","8","12","4","36","11","211","2026-07-27"
"mascotas/edad-del-gato","es","mascotas","Su edad no se multiplica por siete.","1","4","6","6","11","3","31","4","211","2026-07-27"
"mascotas/edad-del-perro","es","mascotas","Entendé en qué momento de su vida está.","1","5","6","6","11","7","36","11","211","2026-07-27"
"mascotas/gestacion","es","mascotas","Prepará la llegada, semana por semana.","1","6","4","2","12","4","30","3","211","2026-07-27"
"mascotas/peso-ideal","es","mascotas","¿Cuánto tiene que pesar mi perro o mi gato?","1","5","6","6","12","13","42","35","211","2026-07-27"
"mascotas/rutina-y-cuidados","es","mascotas","¿Cuánto ejercicio y qué cuidados necesita mi perro?","2","7","5","5","12","5","36","11","211","2026-07-27"
"matematica","es","matematica","No memorices la fórmula. Entendé qué estás buscando.","90","127","85","25","200","16","503","97","30","2026-08-31"
"matematica/area-y-perimetro","es","matematica","¿Cuál es el área y el perímetro de esta figura?","7","13","6","3","12","8","57","87","211","2026-07-27"
"matematica/derivadas","es","matematica","¿Cómo derivo esta función?","6","9","5","5","13","6","47","56","211","2026-07-27"
"matematica/ecuaciones-y-polinomios","es","matematica","¿Cómo resuelvo esta ecuación?","6","10","6","4","19","7","51","70","211","2026-07-28"
"matematica/estadistica-descriptiva","es","matematica","¿Qué me dicen estos datos?","5","5","4","4","12","5","38","19","211","2026-07-27"
"matematica/estadistica-inferencial","es","matematica","¿Puedo confiar en lo que me dice esta muestra?","5","10","5","5","12","4","44","41","211","2026-07-27"
"matematica/fracciones","es","matematica","¿Cómo opero con fracciones?","6","8","6","4","12","3","45","45","211","2026-07-27"
"matematica/geometria-analitica","es","matematica","¿Cómo trabajo con puntos, rectas y vectores en el plano?","5","7","6","3","12","4","43","38","211","2026-07-27"
"matematica/limites-e-integrales","es","matematica","¿Cómo calculo este límite o esta integral?","5","7","5","4","13","6","43","38","211","2026-07-27"
"matematica/porcentajes","es","matematica","La cuenta cambia.La lógica siemprese puede ver.","6","3","3","3","11","6","37","15","211","2026-07-27"
"matematica/potencias-y-raices","es","matematica","El resultado importa. Entender de dónde sale, más.","4","4","5","4","12","10","42","35","211","2026-07-27"
"matematica/probabilidad","es","matematica","¿Qué puede pasar y qué tan probable es?","5","19","6","4","12","11","62","95","211","2026-07-27"
"matematica/regla-de-tres","es","matematica","La fórmula es fácil. Elegir la proporción correcta es lo importante.","6","7","4","4","12","7","44","41","211","2026-07-27"
"matematica/sistemas-y-matrices","es","matematica","¿Cómo resuelvo este sistema de ecuaciones?","5","9","6","4","12","5","46","52","211","2026-07-27"
"matematica/sucesiones-y-series","es","matematica","¿Cómo sigue esta sucesión y cuánto suma?","5","5","5","5","12","4","39","25","211","2026-07-27"
"matematica/triangulos-y-trigonometria","es","matematica","Resolvé el triángulo viendo qué pasa.","9","7","7","4","12","10","59","91","211","2026-07-27"
"matematica/volumen-de-cuerpos","es","matematica","¿Cuánto volumen tiene este cuerpo?","5","4","6","3","12","5","41","31","211","2026-07-27"
"mx","es-MX","mx","De tu nómina a tu próxima decisión.","117","341","148","47","338","36","917","100","9","2026-08-31"
"mx/auto","es-MX","auto","Auto","11","49","16","13","36","3","116","44","9","2026-08-31"
"mx/auto/comprar-o-vender-auto","es-MX","auto","El precio de publicación es sólo el comienzo.","5","19","6","5","12","6","57","93","28","2026-07-28"
"mx/auto/gasto-de-usar-el-auto","es-MX","auto","¿Cuánto me cuesta usarlo: gasolina, casetas y seguro?","3","19","5","5","12","3","48","57","28","2026-07-28"
"mx/auto/tenencia-verificacion-y-placas","es-MX","auto","¿Cuánto pago al año por tener el coche en regla?","3","11","5","5","12","6","43","43","28","2026-07-28"
"mx/familia","es-MX","familia","Familia","7","17","11","6","24","2","65","33","9","2026-08-31"
"mx/familia/licencias-e-incapacidades","es-MX","familia","Me incapacitan o voy a ser mamá o papá: ¿cuánto cobro y por cuánto tiempo?","4","6","5","4","12","3","37","14","28","2026-07-28"
"mx/familia/pension-alimenticia","es-MX","familia","¿Cuánto de pensión alimenticia me corresponde o me van a descontar?","3","11","6","5","12","3","42","39","28","2026-07-28"
"mx/finanzas","es-MX","finanzas","Finanzas","22","55","26","15","48","4","165","67","9","2026-08-31"
"mx/finanzas/credito-de-vivienda","es-MX","finanzas","¿Cuánto te prestan y cuánto vas a pagar cada mes?","5","14","7","6","12","6","54","79","28","2026-08-16"
"mx/finanzas/deudas-y-credito","es-MX","finanzas","Debo en la tarjeta o quiero un préstamo: ¿cuánto me va a costar de verdad?","6","13","6","6","12","6","53","75","28","2026-07-28"
"mx/finanzas/donde-invierto","es-MX","finanzas","¿Dónde rinde más mi dinero: Cetes, pagaré o cuenta de ahorro?","6","16","7","6","12","6","58","96","28","2026-07-28"
"mx/finanzas/mi-afore","es-MX","finanzas","¿Cuánto tengo en la Afore y cuánto me la comen las comisiones?","5","12","6","6","12","5","49","68","28","2026-07-28"
"mx/hogar","es-MX","hogar","Hogar","4","18","5","4","12","1","47","22","9","2026-08-31"
"mx/hogar/servicios-y-obra","es-MX","hogar","Entendé el recibo. Planeá la mejora. Cuidá el presupuesto.","4","18","5","4","12","4","50","71","28","2026-07-28"
"mx/impuestos","es-MX","impuestos","Impuestos","27","78","32","7","85","7","213","89","9","2026-08-31"
"mx/impuestos/declaracion-anual","es-MX","impuestos","¿Me toca declarar y cuánto me devuelven?","3","10","5","4","12","6","42","39","28","2026-08-16"
"mx/impuestos/impuestos-de-mi-empresa","es-MX","impuestos","Tengo una empresa: ¿qué le pago al SAT y qué me cuesta cumplir?","4","20","5","2","12","7","55","82","28","2026-07-28"
"mx/impuestos/isr-de-mis-inversiones","es-MX","impuestos","Gané con inversiones: ¿qué ISR pago?","5","14","5","4","12","5","49","68","28","2026-07-28"
"mx/impuestos/isr-por-mi-cuenta","es-MX","impuestos","Del ingreso facturado al dinero que realmente te queda.","5","5","5","3","13","6","41","32","28","2026-07-28"
"mx/impuestos/iva","es-MX","impuestos","¿Cuánto IVA llevo trasladado, acreditable y a pagar?","3","7","4","3","12","4","35","11","28","2026-07-28"
"mx/impuestos/rentar-mi-departamento","es-MX","impuestos","Rento un depa: ¿cuánto ISR y cuánto predial pago?","3","11","4","4","12","5","40","21","28","2026-07-28"
"mx/impuestos/vender-o-heredar-un-inmueble","es-MX","impuestos","Vendo, heredo o me donan una casa: ¿qué impuestos pago?","4","11","4","4","12","4","41","32","28","2026-07-28"
"mx/trabajo","es-MX","trabajo","Trabajo","26","56","36","10","76","6","196","78","9","2026-08-31"
"mx/trabajo/aguinaldo-prima-y-ptu","es-MX","trabajo","¿Cuánto me toca de aguinaldo, prima vacacional y PTU?","5","10","6","4","12","7","49","68","28","2026-08-16"
"mx/trabajo/costo-de-un-empleado","es-MX","trabajo","El sueldo es sólo una parte de la nómina.","3","11","6","4","12","8","47","46","28","2026-07-28"
"mx/trabajo/finiquito-y-liquidacion","es-MX","trabajo","Lo que te deben depende de cómo terminó.","4","6","6","4","13","5","41","32","28","2026-08-16"
"mx/trabajo/mi-pension-imss","es-MX","trabajo","Tu pensión empieza por saber qué ley te corresponde.","6","16","7","5","12","9","61","100","28","2026-07-28"
"mx/trabajo/sueldo-neto","es-MX","trabajo","Del sueldo brutoal dinero quesí recibes.","4","6","6","6","15","12","48","57","28","2026-08-16"
"mx/trabajo/vacaciones-y-jornada","es-MX","trabajo","¿Cuántos días de vacaciones me tocan y cuánto valen mis horas extra?","4","7","5","3","12","4","39","18","28","2026-08-16"
"mx/tramites","es-MX","tramites","Trámites","3","7","3","3","10","1","30","11","9","2026-08-31"
"mx/tramites/costo-de-mis-documentos","es-MX","tramites","Tu licencia cuesta más que el primer pago.","3","7","3","3","10","4","33","7","28","2026-07-28"
"mx/vida","es-MX","vida","Vida","17","61","19","13","47","4","147","56","9","2026-08-31"
"mx/vida/apoyos-del-bienestar","es-MX","vida","¿Me toca un apoyo del Bienestar y de cuánto?","3","4","4","4","11","3","31","4","28","2026-07-28"
"mx/vida/cuanto-cuesta-vivir","es-MX","vida","¿Cuánto necesito al mes para vivir y cuánta renta puedo pagar?","5","19","6","4","12","6","57","93","28","2026-07-28"
"mx/vida/escuela-y-becas","es-MX","vida","¿Cuánto cuesta la escuela y qué beca me toca?","5","22","5","5","12","5","57","93","28","2026-07-28"
"mx/vida/organizar-una-fiesta","es-MX","vida","¿Cuánto compro y cuánto gasto para la fiesta?","4","16","4","3","12","6","48","57","28","2026-07-28"
"negocios","es","negocios","Vender más sirve si también te queda más.","55","169","72","51","134","11","444","93","30","2026-08-31"
"negocios/capital-de-trabajo","es","negocios","Vendo bien pero no tengo plata: ¿por qué?","4","16","7","3","12","7","55","84","211","2026-07-27"
